Job_id,Title,Vacancy URL,Company ID,Published,End_date,Salary Range min,Salary Range max,Location ID,company_id,Company name,Company URL,location_id,City,Region,Country
123,Datu ievades operators/e,https://www.cv.lv/lv/vacancy/997217/konig-distribution-as/datu-ievades-operators-e,84,2023-05-16,09.06.2023,900.0,,9,84,König Distribution AS,https://www.cv.lv/lv/search/employer/konig-distribution-as?employerId=27629&employerName=König Distribution AS,9, Liepāja, Liepājas rajons, Latvija
124,Biznesa analītikas (BI) eksperts/-e,https://www.cv.lv/lv/vacancy/996869/elva-baltic-sia/biznesa-analitikas-bi-eksperts-e,85,2023-05-09,09.06.2023,2500.0,3500.0,1,85,Elva Baltic SIA,https://www.cv.lv/lv/search/employer/elva-baltic-sia?employerId=17282&employerName=Elva Baltic SIA,1, Rīga, Rīgas rajons, Latvija
125,QA analyst with Azerbaijani language,https://www.cv.lv/lv/vacancy/996973/lendiscore-sia/qa-analyst-with-azerbaijani-language,86,2023-05-09,09.06.2023,900.0,1600.0,1,86,Lendiscore SIA,https://www.cv.lv/lv/search/employer/lendiscore-sia?employerId=71710&employerName=Lendiscore SIA,1, Rīga, Rīgas rajons, Latvija
126,Sistēmas analītiķis,https://www.cv.lv/lv/vacancy/998909/lauksaimniecibas-datu-centrs/sistemas-analitikis,82,2023-05-12,09.06.2023,1245.0,,1,82,Lauksaimniecības datu centrs,https://www.cv.lv/lv/search/employer/lauksaimniecibas-datu-centrs?employerId=30300&employerName=Lauksaimniecības datu centrs,1, Rīga, Rīgas rajons, Latvija
127,Analītiķis/-e Piegādes tīklā,https://www.cv.lv/lv/vacancy/981781/maxima-latvija-sia/analitikis-e-piegades-tikla,87,2023-05-16,09.06.2023,1300.0,,6,87,MAXIMA Latvija SIA,https://www.cv.lv/lv/search/employer/maxima-latvija-sia?employerId=16741&employerName=MAXIMA Latvija SIA,6,, Rīgas rajons, Latvija
128,Datu inženieris/e,https://www.cv.lv/lv/vacancy/997282/as-repharm-holdings/datu-inzenieris-e,88,2023-05-10,10.06.2023,2500.0,,1,88,AS REPHARM Holdings,https://www.cv.lv/lv/search/employer/as-repharm-holdings?employerId=28616&employerName=AS REPHARM Holdings,1, Rīga, Rīgas rajons, Latvija
129,IT and Cyber Risk Analyst,https://www.cv.lv/lv/vacancy/997463/citadele-banka-as/it-and-cyber-risk-analyst,89,2023-05-10,10.06.2023,2600.0,3800.0,1,89,Citadele banka AS,https://www.cv.lv/lv/search/employer/citadele-banka-as?employerId=10690&employerName=Citadele banka AS,1, Rīga, Rīgas rajons, Latvija
130,Data Scientist,https://www.cv.lv/lv/vacancy/997686/sia-dynatech/data-scientist,8,2023-05-10,10.06.2023,3000.0,,1,8,"SIA ""Dynatech""","https://www.cv.lv/lv/search/employer/sia-dynatech?employerId=30946&employerName=SIA ""Dynatech""",1, Rīga, Rīgas rajons, Latvija
131,Vecākais ķīmiķis/e / analītiķis/e,https://www.cv.lv/lv/vacancy/997911/rigas-farmaceitiska-fabrika-as/vecakais-kimikis-e-analitikis-e,90,2023-05-10,10.06.2023,1200.0,,1,90,Rīgas  farmaceitiskā  fabrika AS,https://www.cv.lv/lv/search/employer/rigas-farmaceitiska-fabrika-as?employerId=24590&employerName=Rīgas  farmaceitiskā  fabrika AS,1, Rīga, Rīgas rajons, Latvija
132,PRODUKTU IZSTRĀDES LABORATORIJAS ANALĪTIĶIS/-E,https://www.cv.lv/lv/vacancy/997661/pharmidea-sia/produktu-izstrades-laboratorijas-analitikis-e,52,2023-05-10,10.06.2023,1100.0,,5,52,PHARMIDEA SIA,https://www.cv.lv/lv/search/employer/pharmidea-sia?employerId=24470&employerName=PHARMIDEA SIA,5, Olaine, Rīgas rajons, Latvija
133,Datu ievades operatore/-s,https://www.cv.lv/lv/vacancy/997735/polipaks-ltd/datu-ievades-operatore-s,19,2023-05-10,10.06.2023,1200.0,,1,19,Polipaks Ltd.,https://www.cv.lv/lv/search/employer/polipaks-ltd?employerId=14848&employerName=Polipaks Ltd.,1, Rīga, Rīgas rajons, Latvija
134,(Senior) Digital Sales and Process optimization Analyst,https://www.cv.lv/lv/vacancy/997546/circle-k-business-centre-sia/senior-digital-sales-and-process-optimization-analyst,91,2023-05-10,10.06.2023,2300.0,,1,91,"Circle K Business Centre, SIA","https://www.cv.lv/lv/search/employer/circle-k-business-centre-sia?employerId=29345&employerName=Circle K Business Centre, SIA",1, Rīga, Rīgas rajons, Latvija
135,Senior Digital Sales and Process optimization Analyst,https://www.cv.lv/lv/vacancy/997599/circle-k-business-centre-sia/senior-digital-sales-and-process-optimization-analyst,91,2023-05-10,10.06.2023,2400.0,,1,91,"Circle K Business Centre, SIA","https://www.cv.lv/lv/search/employer/circle-k-business-centre-sia?employerId=29345&employerName=Circle K Business Centre, SIA",1, Rīga, Rīgas rajons, Latvija
136,Finanšu analītiķis (uz nepilnu slodzi),https://www.cv.lv/lv/vacancy/998538/norde-sia/finansu-analitikis-uz-nepilnu-slodzi,92,2023-05-11,11.06.2023,2100.0,,1,92,Norde SIA,https://www.cv.lv/lv/search/employer/norde-sia?employerId=30768&employerName=Norde SIA,1, Rīga, Rīgas rajons, Latvija
137,Galvenais/-ā plānošanas analītiķis/-e,https://www.cv.lv/lv/vacancy/998283/latvijas-dzelzcels-vas/galvenais-a-planosanas-analitikis-e,93,2023-05-11,11.06.2023,2360.0,,1,93,"Latvijas dzelzceļš, VAS","https://www.cv.lv/lv/search/employer/latvijas-dzelzcels-vas?employerId=29296&employerName=Latvijas dzelzceļš, VAS",1, Rīga, Rīgas rajons, Latvija
138,Compliance and data protection office,https://www.cv.lv/lv/vacancy/998262/compensa-vienna-insurance-group-adb-latvijas-filiale/compliance-and-data-protection-office,94,2023-05-11,11.06.2023,2800.0,3000.0,1,94,Compensa Vienna Insurance Group ADB Latvijas filiāle,https://www.cv.lv/lv/search/employer/compensa-vienna-insurance-group-adb-latvijas-filiale?employerId=27800&employerName=Compensa Vienna Insurance Group ADB Latvijas filiāle,1, Rīga, Rīgas rajons, Latvija
139,Fraud-Analyst,https://www.cv.lv/lv/vacancy/998639/sia-media-solutions/fraud-analyst,67,2023-05-12,12.06.2023,1670.0,1960.0,1,67,SIA Media Solutions,https://www.cv.lv/lv/search/employer/sia-media-solutions?employerId=29979&employerName=SIA Media Solutions,1, Rīga, Rīgas rajons, Latvija
140,DATU inženieris,https://www.cv.lv/lv/vacancy/998652/sia-aerones-engineering/datu-inzenieris,95,2023-05-12,12.06.2023,2000.0,5000.0,1,95,SIA Aerones Engineering,https://www.cv.lv/lv/search/employer/sia-aerones-engineering?employerId=27700&employerName=SIA Aerones Engineering,1, Rīga, Rīgas rajons, Latvija
141,Business Analyst (Trevolution),https://www.cv.lv/lv/vacancy/998687/sia-dynatech/business-analyst-trevolution,8,2023-05-12,12.06.2023,2100.0,3600.0,1,8,"SIA ""Dynatech""","https://www.cv.lv/lv/search/employer/sia-dynatech?employerId=30946&employerName=SIA ""Dynatech""",1, Rīga, Rīgas rajons, Latvija
142,Monitoring  Analyst,https://www.cv.lv/lv/vacancy/998850/bilderlings-pay-sia/monitoring-analyst,96,2023-05-12,12.06.2023,1800.0,2100.0,1,96,Bilderlings Pay SIA,https://www.cv.lv/lv/search/employer/bilderlings-pay-sia?employerId=26205&employerName=Bilderlings Pay SIA,1, Rīga, Rīgas rajons, Latvija
143,Data Analyst,https://www.cv.lv/lv/vacancy/999399/smartlynx-airlines-ltd/data-analyst,97,2023-05-16,15.06.2023,2500.0,,1,97,SmartLynx Airlines Ltd,https://www.cv.lv/lv/search/employer/smartlynx-airlines-ltd?employerId=12927&employerName=SmartLynx Airlines Ltd,1, Rīga, Rīgas rajons, Latvija
144,Biznesa analītiķis / Business Analyst,https://www.cv.lv/lv/vacancy/999539/norwegian-air-resources-latvia/biznesa-analitikis-business-analyst,34,2023-05-16,15.06.2023,2200.0,,1,34,Norwegian Air Resources Latvia,https://www.cv.lv/lv/search/employer/norwegian-air-resources-latvia?employerId=24169&employerName=Norwegian Air Resources Latvia,1, Rīga, Rīgas rajons, Latvija
145,Biznesa analītiķis/-e,https://www.cv.lv/lv/vacancy/999753/corporate-solutions-sia/biznesa-analitikis-e,46,2023-05-16,15.06.2023,2000.0,,1,46,Corporate Solutions SIA,https://www.cv.lv/lv/search/employer/corporate-solutions-sia?employerId=26268&employerName=Corporate Solutions SIA,1, Rīga, Rīgas rajons, Latvija
146,Data engineer in Accounts and Payments at SEB in Riga,https://www.cv.lv/lv/vacancy/923459/seb-global-services/data-engineer-in-accounts-and-payments-at-seb-in-riga,98,2023-05-16,15.06.2023,2350.0,5200.0,1,98,SEB Global Services,https://www.cv.lv/lv/search/employer/seb-global-services?employerId=30203&employerName=SEB Global Services,1, Rīga, Rīgas rajons, Latvija
147,Datu ievades speciālists/-e,https://www.cv.lv/lv/vacancy/999383/jf-hillebrand-baltic/datu-ievades-specialists-e,99,2023-05-16,15.06.2023,1024.0,1195.0,1,99,JF Hillebrand Baltic ,https://www.cv.lv/lv/search/employer/jf-hillebrand-baltic?employerId=25162&employerName=JF Hillebrand Baltic ,1, Rīga, Rīgas rajons, Latvija
148,Datu apstrādes speciālists/-e (darbs uz noteiktu laiku),https://www.cv.lv/lv/vacancy/999744/lindstrom-sia/datu-apstrades-specialists-e-darbs-uz-noteiktu-laiku,100,2023-05-16,15.06.2023,1300.0,1400.0,6,100,Lindstrom SIA,https://www.cv.lv/lv/search/employer/lindstrom-sia?employerId=28359&employerName=Lindstrom SIA,6,, Rīgas rajons, Latvija
149,Finance Analyst,https://www.cv.lv/lv/vacancy/999974/kronus-sia/finance-analyst,83,2023-05-16,15.06.2023,1700.0,2000.0,1,83,KRONUS SIA,https://www.cv.lv/lv/search/employer/kronus-sia?employerId=14445&employerName=KRONUS SIA,1, Rīga, Rīgas rajons, Latvija
150,Procesu vadītājs/-a Sistēmas pamatdatu kontroles daļā,https://www.cv.lv/lv/vacancy/970033/maxima-latvija-sia/procesu-vaditajs-a-sistemas-pamatdatu-kontroles-dala,87,2023-05-16,16.06.2023,1800.0,2500.0,6,87,MAXIMA Latvija SIA,https://www.cv.lv/lv/search/employer/maxima-latvija-sia?employerId=16741&employerName=MAXIMA Latvija SIA,6,, Rīgas rajons, Latvija
151,Data Analyst,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,101,2023-05-04,NaN,,,10,101,"IKI Lietuva, UAB",NaN,10,Vilnius,Nan,Lithuania
152,Data Specialist,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,102,2023-05-13,NaN,1600.0,1800.0,11,102,Alliance for Recruitment,NaN,11,Kaunas,Nan,Lithuania
153,Marketing Data Engineer,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,103,2023-05-02,NaN,4100.0,5400.0,12,103,Hostinger International,NaN,12,Various,Nan,Lithuania
154,Senior data engineer,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,104,2023-05-04,NaN,3855.0,5782.0,10,104,Telia Global Services Lithuania,NaN,10,Vilnius,Nan,Lithuania
155,Business Data Analyst,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,104,2023-05-04,NaN,3546.0,5318.0,10,104,Telia Global Services Lithuania,NaN,10,Vilnius,Nan,Lithuania
156,Product Data Analyst,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,103,2023-05-02,NaN,2800.0,4100.0,12,103,Hostinger International,NaN,12,Various,Nan,Lithuania
157,Data Reporting Specialist,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,105,2023-04-16,NaN,1500.0,,10,105,"Adform Lithuania, UAB",NaN,10,Vilnius,Nan,Lithuania
158,Senior data analyst,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,106,2023-04-24,NaN,3051.0,4576.0,13,106,"ADB ""Gjensidige""",NaN,13,Other,Nan,Lithuania
159,Market Data Business Analyst,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,107,2023-05-05,NaN,2680.0,4020.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
160,Supply Chain Data Analyst,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,101,2023-04-26,NaN,,,10,101,"IKI Lietuva, UAB",NaN,10,Vilnius,Nan,Lithuania
161,Senior Data Management Analyst,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,102,2023-03-17,NaN,3070.0,4680.0,10,102,Alliance for Recruitment,NaN,10,Vilnius,Nan,Lithuania
162,Data Engineer for Risk Tribe,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,107,2023-05-03,NaN,3280.0,4920.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
163,Business Data Analyst / Scrum Master,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,104,2023-05-04,NaN,3546.0,5318.0,10,104,Telia Global Services Lithuania,NaN,10,Vilnius,Nan,Lithuania
164,Data Scientist in IRB Framework,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,107,2023-05-12,NaN,2600.0,3900.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
165,Business Analyst for Data Protection,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,107,2023-05-13,NaN,2680.0,4020.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
166,Data analyst in Fraud Operations,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,107,2023-05-16,NaN,1920.0,2880.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
167,Senior Data Engineer in SuperAI,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,107,2023-05-16,NaN,4240.0,6360.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
168,SENIOR DATA ENGINEER (F/M/D),https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,108,2023-05-11,NaN,3075.0,4614.0,11,108,Ignitis grupės paslaugų centras,NaN,11,Kaunas,Nan,Lithuania
169,Chapter Lead for Data Management Services,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,107,2023-05-12,NaN,3840.0,5760.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
170,Ad Ops - Data Management Support Specialist,https://www.cv.lt/it-telekomunikaciju-darbai/data-analyst-vilniuje-1-402628620,105,2023-05-11,NaN,1500.0,,10,105,"Adform Lithuania, UAB",NaN,10,Vilnius,Nan,Lithuania
171,Customer Master Data Maintenance Specialist,https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,104,2023-05-04,NaN,1500.0,1800.0,10,104,Telia Global Services Lithuania,NaN,10,Vilnius,Nan,Lithuania
172,Data Analyst (Assistant to Junior Level),https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,109,2023-05-10,NaN,900.0,2200.0,10,109,"Exacaster, UAB",NaN,10,Vilnius,Nan,Lithuania
173,Senior Business Analyst for Data Protection,https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,107,2023-05-13,NaN,3360.0,5040.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
174,SENIOR JAVA DEVELOPER (F/M/D) (DATA HUB),https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,108,2023-05-04,NaN,3075.0,4614.0,10,108,Ignitis grupės paslaugų centras,NaN,10,Vilnius,Nan,Lithuania
175,SENIOR JAVA DEVELOPER (F/M/D) (DATA HUB),https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,108,2023-05-04,NaN,3075.0,4614.0,11,108,Ignitis grupės paslaugų centras,NaN,11,Kaunas,Nan,Lithuania
176,Associate Business Analyst for Financial Crime Data Team,https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,107,2023-05-14,NaN,2000.0,3000.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
177,Data Analyst in Sanctions Screening Continuous Development Unit,https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,107,2023-05-05,NaN,2680.0,4020.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
178,Senior Statistical Analyst for Investment and Securities Fraud Unit,https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,107,2023-05-14,NaN,2600.0,3900.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
179,IT System Analyst in Finance Tribe,https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,107,2023-05-16,NaN,3440.0,5160.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
180,Digital Product Operations Analyst,https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,110,2023-05-11,NaN,2900.0,3750.0,10,110,Ria Money Transfer,NaN,10,Vilnius,Nan,Lithuania
181,Financial Planner & Analyst,https://www.cv.lt/finansu-apskaitos-audito-darbai/customer-master-data-maintenance-specialist-vilniuje-1-402632327,105,2023-04-27,NaN,800.0,,10,105,"Adform Lithuania, UAB",NaN,10,Vilnius,Nan,Lithuania
182,Market Research Analyst,https://www.cv.lt/finansu-apskaitos-audito-darbai/market-research-analyst-vilniuje-1-402559027,111,2023-05-02,NaN,2100.0,2290.0,10,111,"Baltic Virtual Assistants, UAB",NaN,10,Vilnius,Nan,Lithuania
183,Senior Business Intelligence Analyst in Finance Tribe,https://www.cv.lt/finansu-apskaitos-audito-darbai/market-research-analyst-vilniuje-1-402559027,107,2023-05-10,NaN,3360.0,5040.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
184,Business Analyst in FCP Operations BI and Analytics,https://www.cv.lt/finansu-apskaitos-audito-darbai/market-research-analyst-vilniuje-1-402559027,107,2023-05-03,NaN,2680.0,4020.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
185,Senior Business Analyst in IRB Framework,https://www.cv.lt/finansu-apskaitos-audito-darbai/market-research-analyst-vilniuje-1-402559027,107,2023-05-12,NaN,3360.0,5040.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
186,Associate AML Analyst in KYC Nordic and International Institutions teams,https://www.cv.lt/finansu-apskaitos-audito-darbai/associate-aml-analyst-in-kyc-nordic-and-international-institutions-vilniuje-1-401475370,107,2023-05-13,NaN,1480.0,2220.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
187,ICT Risk Analyst,https://www.cv.lt/finansu-apskaitos-audito-darbai/associate-aml-analyst-in-kyc-nordic-and-international-institutions-vilniuje-1-401475370,102,2023-05-13,NaN,3100.0,4660.0,10,102,Alliance for Recruitment,NaN,10,Vilnius,Nan,Lithuania
188,FINANSŲ KONTROLIERĖ (-IUS) PLANAVIMO IR ANALIZĖS SKYRIUJE,https://www.cv.lt/finansu-apskaitos-audito-darbai/associate-aml-analyst-in-kyc-nordic-and-international-institutions-vilniuje-1-401475370,112,2023-05-11,NaN,2917.0,4377.0,10,112,Energijos skirstymo operatorius,NaN,10,Vilnius,Nan,Lithuania
189,Information Security Risk Analyst,https://www.cv.lt/finansu-apskaitos-audito-darbai/associate-aml-analyst-in-kyc-nordic-and-international-institutions-vilniuje-1-401475370,102,2023-05-13,NaN,3100.0,4660.0,10,102,Alliance for Recruitment,NaN,10,Vilnius,Nan,Lithuania
190,Analyst in Intelligent Automation CoE,https://www.cv.lt/it-telekomunikaciju-darbai/it-technical-specialist-vilniuje-1-403012149,107,2023-05-12,NaN,2680.0,4020.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
191,Business Analyst in Capital Exposure Management,https://www.cv.lt/it-telekomunikaciju-darbai/it-technical-specialist-vilniuje-1-403012149,107,2023-05-08,NaN,2680.0,4020.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
192,Business Analyst in Capital Exposure Management,https://www.cv.lt/it-telekomunikaciju-darbai/it-technical-specialist-vilniuje-1-403012149,107,2023-05-05,NaN,2680.0,4020.0,10,107,Danske Bank A/S Lietuvos filialas,NaN,10,Vilnius,Nan,Lithuania
193,Viešųjų finansų sistemos valdymo grupės finansų analitikas,https://www.cv.lt/valstybes-tarnyba/duju-ir-elektros-departamento-didmenines-rinkos-skyriaus-vyriausiasis-kitur-2-403008174,113,2023-05-11,NaN,,,10,113,Lietuvos Respublikos finansų ministerija,NaN,10,Vilnius,Nan,Lithuania
194,"Ekonominės analizės skyriaus vyriausiasis specialistas (atlyginimas, atskaičius mokesčius - 900-1500 Eur)",https://www.cv.lt/valstybes-tarnyba/duju-ir-elektros-departamento-didmenines-rinkos-skyriaus-vyriausiasis-kitur-2-403008174,114,2023-05-13,NaN,,,13,114,Valstybinė energetikos reguliavimo taryba,NaN,13,Other,Nan,Lithuania
195,Finansų politikos departamento Fiskalinės valdysenos skyriaus finansų analitikas,https://www.cv.lt/valstybes-tarnyba/duju-ir-elektros-departamento-didmenines-rinkos-skyriaus-vyriausiasis-kitur-2-403008174,113,2023-05-08,NaN,,,10,113,Lietuvos Respublikos finansų ministerija,NaN,10,Vilnius,Nan,Lithuania
